scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
a,jdbc-join,0,50,,1,1781144829,1.296257,2.427554,3.042516,0,1.3900852894517595,0.33946,25.947302,6001,0,0.0,0,1,41,a-jdbc-join-rtt0-r50-rep1-1781144829.json
a,jdbc-join,10000,50,,1,1781150856,13.9234045,16.70600525,17.70145551,0,13.97558578483339,10.448162,32.012452,6000,0,0.0,0,1,12932,a-jdbc-join-rtt10000-r50-rep1-1781150856.json
a,jdbc-join,1500,50,,1,1781146516,3.460822,4.645416,5.210005,0,3.5118362684552618,1.936268,26.506229,6001,0,0.0,0,1,2392,a-jdbc-join-rtt1500-r50-rep1-1781146516.json
a,jdbc-join,300,50,,1,1781145546,1.79284,3.011178,3.586848,0,1.928464229461761,0.703503,76.451971,6001,0,0.0,0,1,557,a-jdbc-join-rtt300-r50-rep1-1781145546.json
a,jdbc-join,5000,50,,1,1781148130,7.595861,9.730504,10.815646,0,7.756424899850051,5.335069,45.656763,6001,0,0.0,0,1,6605,a-jdbc-join-rtt5000-r50-rep1-1781148130.json
a,jdbc-seq,0,50,,1,1781144960,2.0508645,3.6572519499999996,4.699129749999999,0,2.1846708244999995,0.567044,32.14987,6000,0,0.0,0,1,40,a-jdbc-seq-rtt0-r50-rep1-1781144960.json
a,jdbc-seq,10000,50,,1,1781151503,89.258417,97.275522,105.291503,0,111.38205135644084,0.026958,2560.229081,6001,0,0.0,0,1,12873,a-jdbc-seq-rtt10000-r50-rep1-1781151503.json
a,jdbc-seq,1500,50,,1,1781146738,19.409189,21.446287,23.042047,0,19.370073659890004,13.684809,39.975675,6001,0,0.0,0,1,2391,a-jdbc-seq-rtt1500-r50-rep1-1781146738.json
a,jdbc-seq,300,50,,1,1781145698,5.929023,7.69653,8.5847,0,6.0418666082319685,3.795139,24.082759,6001,0,0.0,0,1,556,a-jdbc-seq-rtt300-r50-rep1-1781145698.json
a,jdbc-seq,5000,50,,1,1781148528,49.298109,54.443957,57.343137,0,49.55810424712553,42.231184,84.930533,6001,0,0.0,0,1,6536,a-jdbc-seq-rtt5000-r50-rep1-1781148528.json
a,join,0,50,,1,1781144572,1.900305,3.348648,3.924651,0,2.0060100896517232,0.532003,23.876147,6001,0,0.0,0,1,48,a-join-rtt0-r50-rep1-1781144572.json
a,join,10000,50,,1,1781149568,67.869685,73.901858,76.842969,0,68.2611377417096,61.18742,84.567996,6001,0,0.0,0,1,12932,a-join-rtt10000-r50-rep1-1781149568.json
a,join,1500,50,,1,1781146072,15.003120500000001,16.899409849999998,18.350585579999997,0,15.021051332666682,10.450884,49.335175,6000,0,0.0,0,1,2382,a-join-rtt1500-r50-rep1-1781146072.json
a,join,300,50,,1,1781145243,4.948980000000001,6.67465815,7.786751349999999,0,5.078287160499998,2.927013,32.131139,6000,0,0.0,0,1,551,a-join-rtt300-r50-rep1-1781145243.json
a,join,5000,50,,1,1781147354,37.15606,41.275458,43.214132,0,37.21147873104485,31.511733,66.125945,6001,0,0.0,0,1,6562,a-join-rtt5000-r50-rep1-1781147354.json
a,par,0,14,,1,1781145091,3.722101,5.826818,7.725269399999999,0,3.8281267447947687,1.408214,24.022902,1681,0,0.0,0,1,52,a-par-rtt0-r14-rep1-1781145091.json
a,par,10000,14,,1,1781152147,15175.195323,28903.7949156,31084.41240795,0,14269.220035528857,154.528348,33703.330136,1490,190,0.12752,0.7469798657718121,0,12903,a-par-rtt10000-r14-rep1-1781152147.json
a,par,1500,14,,1,1781146959,30.270001,33.047137,34.240388599999996,0,30.128635889946448,21.230141,53.05541,1681,0,0.0,0,1,2390,a-par-rtt1500-r14-rep1-1781146959.json
a,par,300,14,,1,1781145850,9.680328,11.889879,13.7764524,0,9.783589694824517,6.395441,29.958988,1681,0,0.0,0,1,553,a-par-rtt300-r14-rep1-1781145850.json
a,par,5000,14,,1,1781148924,80.577292,88.932946,92.9970976,0,80.90112997620452,64.961184,106.73031,1681,0,0.0,0,1,6489,a-par-rtt5000-r14-rep1-1781148924.json
a,seq,0,50,,1,1781144698,2.051595,3.583937,4.561318,0,2.170988599400103,0.682962,35.096697,6001,0,0.0,0,1,40,a-seq-rtt0-r50-rep1-1781144698.json
a,seq,10000,50,,1,1781150211,89.990562,97.274998,101.823689,0,90.3726932121311,82.057301,147.314113,6001,0,0.0,0,1,12872,a-seq-rtt10000-r50-rep1-1781150211.json
a,seq,1500,50,,1,1781146294,19.414327,21.43081,22.585371,0,19.402954833694444,13.744522,54.874632,6001,0,0.0,0,1,2389,a-seq-rtt1500-r50-rep1-1781146294.json
a,seq,300,50,,1,1781145395,6.044567,7.980449,8.884953,0,6.180236081153144,3.888474,37.9542,6001,0,0.0,0,1,551,a-seq-rtt300-r50-rep1-1781145395.json
a,seq,5000,50,,1,1781147738,48.29515,53.321635,55.920027,0,48.579839930511525,41.651446,81.795381,6001,0,0.0,0,1,6429,a-seq-rtt5000-r50-rep1-1781147738.json
b,batchfetch,0,20,,1,1781165870,6.806372,10.55756,14.876752,0,7.085180763848406,2.752933,48.2424,2401,0,0.0,0,1,41,b-batchfetch-rtt0-r20-rep1-1781165870.json
