scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,byid,0,20,100,1,1784374915,1142.082423,9775.181759,11475.590782079997,0,3355.897538003847,126.346109,11979.315416,2337,64,0.02739,0.03123662815575524,0,227,b-byid-rtt0-r20-n100-rep1-1784374915.json
b,byid,0,20,100,2,1784375051,11767.489282,18060.148294399998,19984.146641159998,0,11275.966748803838,280.955998,20567.133857,2187,214,0.09785,0.10333790580704161,0,227,b-byid-rtt0-r20-n100-rep2-1784375051.json
b,byid,0,20,100,3,1784375193,7640.912936000001,11393.796082949999,13128.48552347,0,7501.21660552443,333.376394,13631.22159,2294,107,0.04664,0.05579773321708806,0,227,b-byid-rtt0-r20-n100-rep3-1784375193.json
b,byid,2200,20,100,1,1784381179,324.584805,4839.83469,6613.321945,0,1107.5439310595575,241.071561,7041.29401,2401,0,0.0,0.0020824656393169513,0,2506,b-byid-rtt2200-r20-n100-rep1-1784381179.json
b,byid,2200,20,100,2,1784381305,7326.6082155,12233.039531549999,13886.493687600001,0,6887.7490593970315,526.8057,14531.043414,2292,109,0.04756,0.02268760907504363,0,2506,b-byid-rtt2200-r20-n100-rep2-1784381305.json
b,byid,2200,20,100,3,1784381440,6556.328914,10989.644108399998,12195.79940801,0,6362.358831606404,530.068136,12355.766716,2312,89,0.03849,0.012110726643598616,0,2506,b-byid-rtt2200-r20-n100-rep3-1784381440.json
b,byid,800,20,100,1,1784377908,7874.262191,13688.9878816,15361.383232600001,0,7324.266014917887,269.576688,16149.166564,2253,148,0.06569,0.056813138038171326,0,1093,b-byid-rtt800-r20-n100-rep1-1784377908.json
b,byid,800,20,100,2,1784378045,20424.343664,29499.443196599997,30705.29196776,0,18080.168382583266,489.922194,32387.734024,2023,378,0.18685,0.14087988136431043,0,1093,b-byid-rtt800-r20-n100-rep2-1784378045.json
b,byid,800,20,100,3,1784378198,10456.523788,15697.2252192,16734.363541999996,0,9429.204114498429,417.274368,17106.1751,2233,168,0.07524,0.07299596954769369,0,1093,b-byid-rtt800-r20-n100-rep3-1784378198.json
b,inbatch,0,20,100,1,1784373595,35.562758,53.353329,74.317584,0,36.1481290041649,13.128597,166.705457,2401,0,0.0,0,1,154,b-inbatch-rtt0-r20-n100-rep1-1784373595.json
b,inbatch,0,20,100,2,1784373717,26.000369,42.169830749999974,53.16631123999996,0,27.03256715875001,12.106358,93.334108,2400,0,0.0,0,1,154,b-inbatch-rtt0-r20-n100-rep2-1784373717.json
b,inbatch,0,20,100,3,1784373839,19.063593,37.191677,43.709259,0,20.872742551436918,5.891312,53.155047,2401,0,0.0,0,1,154,b-inbatch-rtt0-r20-n100-rep3-1784373839.json
b,inbatch,2200,20,100,1,1784379594,38.111875999999995,42.310221599999984,45.97420064999998,0,35.1585194787499,22.238977,54.996832,2400,0,0.0,0,1,2507,b-inbatch-rtt2200-r20-n100-rep1-1784379594.json
b,inbatch,2200,20,100,2,1784379714,36.202523,41.066968,45.287573,0,34.61453749312788,22.298447,50.711279,2401,0,0.0,0,1,2507,b-inbatch-rtt2200-r20-n100-rep2-1784379714.json
b,inbatch,2200,20,100,3,1784379836,32.547167,40.445682,41.930072,0,33.770576771345226,21.990868,50.948338,2401,0,0.0,0,1,2507,b-inbatch-rtt2200-r20-n100-rep3-1784379836.json
b,inbatch,800,20,100,1,1784376421,38.295598,61.222222,76.481299,0,40.055284768846334,18.166568,107.533625,2401,0,0.0,0,1,1012,b-inbatch-rtt800-r20-n100-rep1-1784376421.json
b,inbatch,800,20,100,2,1784376543,37.291656,56.392318,70.095769,0,37.48853621699292,17.427844,110.111598,2401,0,0.0,0,1,1012,b-inbatch-rtt800-r20-n100-rep2-1784376543.json
b,inbatch,800,20,100,3,1784376666,38.597738,58.824657,71.47578,0,40.79974948813001,23.558272,112.312452,2401,0,0.0,0,1,1012,b-inbatch-rtt800-r20-n100-rep3-1784376666.json
b,jdbc-inbatch,0,20,100,1,1784374003,4.287265,13.11637675,18.94594548,0,6.202256720000002,1.724885,37.616159,2400,0,0.0,0,1,90,b-jdbc-inbatch-rtt0-r20-n100-rep1-1784374003.json
b,jdbc-inbatch,0,20,100,2,1784374125,5.63431,16.58827,25.396069,0,8.14742263931695,1.781832,89.725239,2401,0,0.0,0,1,90,b-jdbc-inbatch-rtt0-r20-n100-rep2-1784374125.json
b,jdbc-inbatch,0,20,100,3,1784374246,4.5909914999999994,13.157382999999998,19.35131685999994,0,6.707948748333338,1.776605,87.490176,2400,0,0.0,0,1,90,b-jdbc-inbatch-rtt0-r20-n100-rep3-1784374246.json
b,jdbc-inbatch,2200,20,100,1,1784380074,11.763376,12.412929,13.413199,0,10.67850131028737,6.537906,20.437962,2401,0,0.0,0,1,2505,b-jdbc-inbatch-rtt2200-r20-n100-rep1-1784380074.json
b,jdbc-inbatch,2200,20,100,2,1784380195,11.7269225,12.692514749999996,15.130425429999997,0,10.667054914166663,6.497236,20.405957,2400,0,0.0,0,1,2505,b-jdbc-inbatch-rtt2200-r20-n100-rep2-1784380195.json
b,jdbc-inbatch,2200,20,100,3,1784380316,11.764179,13.257083,15.723392,0,10.744271714702203,6.404152,24.910449,2401,0,0.0,0,1,2505,b-jdbc-inbatch-rtt2200-r20-n100-rep3-1784380316.json
b,jdbc-inbatch,800,20,100,1,1784376906,12.041084,20.242028,25.032971,0,10.86443678300708,3.39082,57.733487,2401,0,0.0,0,1,1033,b-jdbc-inbatch-rtt800-r20-n100-rep1-1784376906.json
b,jdbc-inbatch,800,20,100,2,1784377029,11.384186,16.793192,23.13193,0,10.253169034152425,3.572181,60.265926,2401,0,0.0,0,1,1033,b-jdbc-inbatch-rtt800-r20-n100-rep2-1784377029.json
b,jdbc-inbatch,800,20,100,3,1784377151,13.348057,23.674574,33.107282,0,13.758854905872552,3.544223,318.938176,2401,0,0.0,0,1,1033,b-jdbc-inbatch-rtt800-r20-n100-rep3-1784377151.json
b,jdbc-join,0,20,100,1,1784373176,2.464626,10.548136,12.413057,0,4.029105053311122,1.475649,25.713723,2401,0,0.0,0,1,135,b-jdbc-join-rtt0-r20-n100-rep1-1784373176.json
b,jdbc-join,0,20,100,2,1784373298,5.219177999999999,14.191695899999996,24.53502542999998,0,7.774689447083334,1.480655,232.543278,2400,0,0.0,0,1,135,b-jdbc-join-rtt0-r20-n100-rep2-1784373298.json
b,jdbc-join,0,20,100,3,1784373420,3.431545,11.48428,13.601937,0,5.066846503956692,1.623353,30.688884,2401,0,0.0,0,1,135,b-jdbc-join-rtt0-r20-n100-rep3-1784373420.json
b,jdbc-join,2200,20,100,1,1784379111,8.452616,13.105104,19.657579,0,8.025274343190341,3.617818,37.277341,2401,0,0.0,0,1,2519,b-jdbc-join-rtt2200-r20-n100-rep1-1784379111.json
b,jdbc-join,2200,20,100,2,1784379233,5.67901,13.042557899999998,16.22344109999996,0,7.607693142499994,3.626613,26.203693,2400,0,0.0,0,1,2519,b-jdbc-join-rtt2200-r20-n100-rep2-1784379233.json
b,jdbc-join,2200,20,100,3,1784379355,8.256543,10.630987,12.114286,0,7.619672688463135,3.948344,22.197478,2401,0,0.0,0,1,2519,b-jdbc-join-rtt2200-r20-n100-rep3-1784379355.json
b,jdbc-join,800,20,100,1,1784375928,5.065863,13.726156,22.373489,0,7.253918859225331,2.26087,61.999713,2401,0,0.0,0,1,1080,b-jdbc-join-rtt800-r20-n100-rep1-1784375928.json
b,jdbc-join,800,20,100,2,1784376050,5.116683,12.923118,18.773324,0,7.061856386922121,2.323828,31.877635,2401,0,0.0,0,1,1080,b-jdbc-join-rtt800-r20-n100-rep2-1784376050.json
