scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,byid,0,10,100,1,1784382275,100.797466,139.079253,161.99572035999998,0,89.14469583916681,28.81638,186.091629,1200,0,0.0,0,1,151,b-byid-rtt0-r10-n100-rep1-1784382275.json
b,byid,0,10,100,1,1784390115,98.22589049999999,149.99516795,187.02567899,0,87.27842574749984,20.027241,253.736513,1200,0,0.0,0,1,121,b-byid-rtt0-r10-n100-rep1-1784390115.json
b,byid,0,10,100,2,1784382398,59.990660500000004,123.08205715,135.61255877,0,70.17887307083332,28.881052,174.388362,1200,0,0.0,0,1,151,b-byid-rtt0-r10-n100-rep2-1784382398.json
b,byid,0,10,100,2,1784390236,63.512099,126.468675,149.04148,0,75.76759263530379,28.909271,191.828034,1201,0,0.0,0,1,121,b-byid-rtt0-r10-n100-rep2-1784390236.json
b,byid,0,10,100,3,1784382519,99.959464,136.447478,162.729199,0,85.44669989508745,29.389962,209.12736,1201,0,0.0,0,1,151,b-byid-rtt0-r10-n100-rep3-1784382519.json
b,byid,2200,10,100,1,1784387606,305.116573,344.6301229,451.81054423,0,307.88768896416667,248.142071,471.812365,1200,0,0.0,0,1,2769,b-byid-rtt2200-r10-n100-rep1-1784387606.json
b,byid,2200,10,100,1,1784390867,314.526635,463.010456,491.042757,0,332.8376343938386,231.624612,504.843818,1201,0,0.0,0,1,2506,b-byid-rtt2200-r10-n100-rep1-1784390867.json
b,byid,2200,10,100,2,1784387728,454.966766,529.505656,558.298768,0,461.5441549017485,379.269312,600.382213,1201,0,0.0,0,1,2769,b-byid-rtt2200-r10-n100-rep2-1784387728.json
b,byid,2200,10,100,2,1784390989,453.871132,551.402793,608.628041,0,467.48148209075777,384.125143,746.842887,1201,0,0.0,0,1,2506,b-byid-rtt2200-r10-n100-rep2-1784390989.json
b,byid,2200,10,100,3,1784387850,442.076592,530.154504,555.20129,0,454.63270885179026,379.304881,585.829348,1201,0,0.0,0,1,2769,b-byid-rtt2200-r10-n100-rep3-1784387850.json
b,byid,800,10,100,1,1784384762,261.153194,295.422847,308.681929,0,255.38090805495395,158.042504,355.513553,1201,0,0.0,0,1,975,b-byid-rtt800-r10-n100-rep1-1784384762.json
b,byid,800,10,100,1,1784390458,271.0817275,306.4861021,322.36134988,0,261.349883286667,190.233299,348.207591,1200,0,0.0,0,1,1004,b-byid-rtt800-r10-n100-rep1-1784390458.json
b,byid,800,10,100,2,1784384884,244.667302,301.195157,368.315023,0,248.2007191715236,196.141844,417.258252,1201,0,0.0,0,1,975,b-byid-rtt800-r10-n100-rep2-1784384884.json
b,byid,800,10,100,2,1784390580,246.988763,295.472673,319.824916,0,248.59529689675304,192.763447,393.915424,1201,0,0.0,0,1,1004,b-byid-rtt800-r10-n100-rep2-1784390580.json
b,byid,800,10,100,3,1784385007,322.233627,388.372798,416.094041,0,328.6963519200669,266.374897,494.414494,1201,0,0.0,0,1,975,b-byid-rtt800-r10-n100-rep3-1784385007.json
b,inbatch,0,10,100,1,1784383502,15.519594,35.403455,40.072621,0,19.3633780124896,6.030901,57.495641,1201,0,0.0,0,1,140,b-inbatch-rtt0-r10-n100-rep1-1784383502.json
b,inbatch,0,10,100,1,1784391160,13.348692,26.399748,36.495336,0,15.926452774354702,6.03641,38.837742,1201,0,0.0,0,1,137,b-inbatch-rtt0-r10-n100-rep1-1784391160.json
b,inbatch,0,10,100,2,1784383625,18.839579,25.99145,31.542487,0,18.782353258950852,5.941756,48.546518,1201,0,0.0,0,1,140,b-inbatch-rtt0-r10-n100-rep2-1784383625.json
b,inbatch,0,10,100,2,1784391282,14.515974,37.455841,44.796409,0,19.893205189009127,5.973079,65.203284,1201,0,0.0,0,1,137,b-inbatch-rtt0-r10-n100-rep2-1784391282.json
b,inbatch,0,10,100,3,1784383747,23.946812,26.259337,29.164077,0,19.844954383014137,6.398558,40.674048,1201,0,0.0,0,1,140,b-inbatch-rtt0-r10-n100-rep3-1784383747.json
b,inbatch,2200,10,100,1,1784389150,37.519179,41.498837,45.193268,0,34.73221156119901,22.276296,53.446389,1201,0,0.0,0,1,2765,b-inbatch-rtt2200-r10-n100-rep1-1784389150.json
b,inbatch,2200,10,100,2,1784389271,39.472209,41.125949,43.878334,0,35.65731731057456,22.267936,53.299097,1201,0,0.0,0,1,2765,b-inbatch-rtt2200-r10-n100-rep2-1784389271.json
b,inbatch,2200,10,100,3,1784389392,39.001212,41.463765,44.443687,0,35.59838410074938,22.319044,51.883854,1201,0,0.0,0,1,2765,b-inbatch-rtt2200-r10-n100-rep3-1784389392.json
b,inbatch,800,10,100,1,1784386170,30.823661,50.506938,57.79713,0,32.43993009408826,12.367195,62.135064,1201,0,0.0,0,1,1083,b-inbatch-rtt800-r10-n100-rep1-1784386170.json
b,inbatch,800,10,100,2,1784386292,36.460922499999995,50.49723475,57.69261808999999,0,35.07264578916667,23.811152,71.9376,1200,0,0.0,0,1,1083,b-inbatch-rtt800-r10-n100-rep2-1784386292.json
b,inbatch,800,10,100,3,1784386414,37.275073,52.102204,60.946132,0,37.546301441298866,17.349913,75.528944,1201,0,0.0,0,1,1083,b-inbatch-rtt800-r10-n100-rep3-1784386414.json
b,jdbc-inbatch,0,10,100,1,1784383881,7.38802,8.472838,9.921918,0,6.369924344712748,2.206068,16.080077,1201,0,0.0,0,1,74,b-jdbc-inbatch-rtt0-r10-n100-rep1-1784383881.json
