32	Quit	
10	Query	set session transaction read only
10	Query	SET autocommit=0
10	Query	select ci1_0.id,ci1_0.issued_at,m1_0.id,m1_0.created_at,m1_0.email,m1_0.name,ci1_0.member_id,p1_0.id,p1_0.created_at,p1_0.discount_amount,p1_0.expire_at,p1_0.name,p1_0.type,ci1_0.policy_id,ci1_0.status,ci1_0.used_at from coupon_issue ci1_0 join coupon_policy p1_0 on p1_0.id=ci1_0.policy_id join member m1_0 on m1_0.id=ci1_0.member_id where ci1_0.id=500000
10	Query	commit
10	Query	SET autocommit=1
10	Query	set session transaction read write
33	Connect	root@localhost on  using Socket
33	Query	select @@version_comment limit 1
33	Query	SELECT thread_id, command_type, CONVERT(argument USING utf8mb4) FROM mysql.general_log ORDER BY event_time, thread_id
