1784283688.754990 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1707841848:1707841891, ack 1678524818, win 678, options [nop,nop,TS val 3834343486 ecr 1737375853], length 43
1784283688.756696 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1:34, ack 43, win 504, options [nop,nop,TS val 1737449580 ecr 3834343486], length 33
1784283688.756732 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [.], ack 34, win 678, options [nop,nop,TS val 3834343488 ecr 1737449580], length 0
1784283688.760144 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 43:96, ack 34, win 678, options [nop,nop,TS val 3834343492 ecr 1737449580], length 53
1784283688.761926 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 34:105, ack 96, win 504, options [nop,nop,TS val 1737449585 ecr 3834343492], length 71
1784283688.762186 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 96:149, ack 105, win 678, options [nop,nop,TS val 3834343494 ecr 1737449585], length 53
1784283688.764122 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 105:176, ack 149, win 504, options [nop,nop,TS val 1737449587 ecr 3834343494], length 71
1784283688.764279 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 149:202, ack 176, win 678, options [nop,nop,TS val 3834343496 ecr 1737449587], length 53
1784283688.766203 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 176:247, ack 202, win 504, options [nop,nop,TS val 1737449589 ecr 3834343496], length 71
1784283688.766368 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 202:255, ack 247, win 678, options [nop,nop,TS val 3834343498 ecr 1737449589], length 53
1784283688.768283 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 247:318, ack 255, win 504, options [nop,nop,TS val 1737449591 ecr 3834343498], length 71
1784283688.768461 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 255:308, ack 318, win 678, options [nop,nop,TS val 3834343500 ecr 1737449591], length 53
1784283688.770389 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 318:389, ack 308, win 504, options [nop,nop,TS val 1737449593 ecr 3834343500], length 71
1784283688.770569 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 308:361, ack 389, win 678, options [nop,nop,TS val 3834343502 ecr 1737449593], length 53
1784283688.772554 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 389:460, ack 361, win 504, options [nop,nop,TS val 1737449595 ecr 3834343502], length 71
1784283688.772718 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 361:414, ack 460, win 678, options [nop,nop,TS val 3834343504 ecr 1737449595], length 53
1784283688.774341 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 460:531, ack 414, win 504, options [nop,nop,TS val 1737449597 ecr 3834343504], length 71
1784283688.774505 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 414:467, ack 531, win 678, options [nop,nop,TS val 3834343506 ecr 1737449597], length 53
1784283688.776435 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 531:602, ack 467, win 504, options [nop,nop,TS val 1737449599 ecr 3834343506], length 71
1784283688.776595 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 467:520, ack 602, win 678, options [nop,nop,TS val 3834343508 ecr 1737449599], length 53
1784283688.778149 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 602:673, ack 520, win 504, options [nop,nop,TS val 1737449601 ecr 3834343508], length 71
1784283688.778275 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 520:573, ack 673, win 678, options [nop,nop,TS val 3834343510 ecr 1737449601], length 53
1784283688.780189 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 673:744, ack 573, win 504, options [nop,nop,TS val 1737449603 ecr 3834343510], length 71
1784283688.780317 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 573:626, ack 744, win 678, options [nop,nop,TS val 3834343512 ecr 1737449603], length 53
1784283688.782247 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 744:815, ack 626, win 504, options [nop,nop,TS val 1737449605 ecr 3834343512], length 71
1784283688.782426 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 626:679, ack 815, win 678, options [nop,nop,TS val 3834343514 ecr 1737449605], length 53
1784283688.784347 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 815:886, ack 679, win 504, options [nop,nop,TS val 1737449607 ecr 3834343514], length 71
1784283688.784486 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 679:732, ack 886, win 678, options [nop,nop,TS val 3834343516 ecr 1737449607], length 53
1784283688.786407 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 886:957, ack 732, win 504, options [nop,nop,TS val 1737449609 ecr 3834343516], length 71
1784283688.786570 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 732:785, ack 957, win 678, options [nop,nop,TS val 3834343518 ecr 1737449609], length 53
1784283688.788360 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 957:1028, ack 785, win 504, options [nop,nop,TS val 1737449611 ecr 3834343518], length 71
1784283688.788586 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 785:838, ack 1028, win 678, options [nop,nop,TS val 3834343520 ecr 1737449611], length 53
1784283688.790505 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1028:1099, ack 838, win 504, options [nop,nop,TS val 1737449613 ecr 3834343520], length 71
1784283688.790617 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 838:891, ack 1099, win 678, options [nop,nop,TS val 3834343522 ecr 1737449613], length 53
1784283688.792539 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1099:1170, ack 891, win 504, options [nop,nop,TS val 1737449615 ecr 3834343522], length 71
1784283688.792677 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 891:944, ack 1170, win 678, options [nop,nop,TS val 3834343524 ecr 1737449615], length 53
1784283688.794616 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1170:1241, ack 944, win 504, options [nop,nop,TS val 1737449617 ecr 3834343524], length 71
1784283688.794829 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 944:997, ack 1241, win 678, options [nop,nop,TS val 3834343526 ecr 1737449617], length 53
1784283688.796787 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1241:1312, ack 997, win 504, options [nop,nop,TS val 1737449619 ecr 3834343526], length 71
1784283688.796955 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 997:1050, ack 1312, win 678, options [nop,nop,TS val 3834343528 ecr 1737449619], length 53
1784283688.798825 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1312:1383, ack 1050, win 504, options [nop,nop,TS val 1737449621 ecr 3834343528], length 71
1784283688.799012 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1050:1103, ack 1383, win 678, options [nop,nop,TS val 3834343530 ecr 1737449621], length 53
1784283688.800962 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1383:1454, ack 1103, win 504, options [nop,nop,TS val 1737449623 ecr 3834343530], length 71
1784283688.801139 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1103:1156, ack 1454, win 678, options [nop,nop,TS val 3834343533 ecr 1737449623], length 53
1784283688.803059 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1454:1525, ack 1156, win 504, options [nop,nop,TS val 1737449626 ecr 3834343533], length 71
1784283688.803209 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1156:1209, ack 1525, win 678, options [nop,nop,TS val 3834343535 ecr 1737449626], length 53
1784283688.804906 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1525:1596, ack 1209, win 504, options [nop,nop,TS val 1737449628 ecr 3834343535], length 71
1784283688.805044 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1209:1262, ack 1596, win 678, options [nop,nop,TS val 3834343536 ecr 1737449628], length 53
1784283688.806995 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1596:1667, ack 1262, win 504, options [nop,nop,TS val 1737449629 ecr 3834343536], length 71
1784283688.807189 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1262:1315, ack 1667, win 678, options [nop,nop,TS val 3834343539 ecr 1737449629], length 53
1784283688.809050 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1667:1738, ack 1315, win 504, options [nop,nop,TS val 1737449632 ecr 3834343539], length 71
1784283688.809219 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1315:1368, ack 1738, win 678, options [nop,nop,TS val 3834343541 ecr 1737449632], length 53
1784283688.811185 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1738:1809, ack 1368, win 504, options [nop,nop,TS val 1737449634 ecr 3834343541], length 71
1784283688.811359 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1368:1421, ack 1809, win 678, options [nop,nop,TS val 3834343543 ecr 1737449634], length 53
1784283688.813308 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1809:1880, ack 1421, win 504, options [nop,nop,TS val 1737449636 ecr 3834343543], length 71
1784283688.813466 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1421:1474, ack 1880, win 678, options [nop,nop,TS val 3834343545 ecr 1737449636], length 53
1784283688.815469 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1880:1951, ack 1474, win 504, options [nop,nop,TS val 1737449638 ecr 3834343545], length 71
1784283688.815628 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1474:1527, ack 1951, win 678, options [nop,nop,TS val 3834343547 ecr 1737449638], length 53
